Key1;Key2;ISIN;Country;Industry;Corridor_per_TA;Funded_Status;FVDBO;FVPA;Duration;ROA;TDR;CR;Cap_Turn;MV_common_shares;FS_DUM;Size
USD_2012;GB0007980591_2012;GB0007980591;GB;Oil & Gas;0;-10242,11243;39496,8601;29254,74767;0,317150063;0,038575183;0,60152302;1,430425592;0,369698827;81335,4926;1;5,356267671
CHF_2012;CH0038863350_2012;CH0038863350;CH;Food & Beverages;0,000269352;-6072,049689;23228,98551;17156,93582;0,425906183;0,084061507;0,504044237;0,908445798;0,278897876;192198,0829;1;5,019272002
EUR_2012;FR0000120271_2012;FR0000120271;FR;Oil & Gas;-0,009707325;-2745;10893;8148;0,295566502;0,062236293;0,568216075;1,377363879;0,392931345;92057,9157;1;5,235096463
USD_2012;CH0012005267_2012;CH0012005267;CH;Healthcare;0;0;0;0;0;0,076519933;0,442752946;1,16435907;0,225445997;155470,7945;0;4,97304465
CHF_2012;CH0012032048_2012;CH0012032048;CH;Healthcare;0,06133786;-2161,490683;11448,4472;9286,956522;0,388888889;0,147195432;0,741871769;1,552328171;0,484083018;159175,5337;1;4,729721376
EUR_2012;ES0178430E18_2012;ES0178430E18;ES;Telecommunications;0;-759;2257;1498;0,480874317;0,030268238;0,786850886;0,812287773;0,197236713;46283,9186;1;5,113184344
GBP_2012;GB0009252882_2012;GB0009252882;GB;Healthcare;0;-3644,699841;20613,76696;16969,06712;0,311136625;0,110066305;0,837323689;0,991096634;0,330126582;66007,4062;1;4,705086187
USD_2012;GB00B03MLX29_2012;GB00B03MLX29;GB;Oil & Gas;-0,024178172;-6591,510933;61774,23016;55182,71923;0,30056243;0,073800042;0,472900853;1,183080873;0,318418095;138000,8862;1;5,435561505
EUR_2012;FR0000120578_2012;FR0000120578;FR;Healthcare;0;-5281;12021;6740;0,361878453;0,049468663;0,427609629;1,647791049;0,228081707;93667,98;1;5,001763991
EUR_2012;DE000ENAG999_2012;DE000ENAG999;DE;Utilities;0;-4897;16778;11881;0,269063181;0,015787675;0,723562588;1,198246189;0,312356686;24803;1;5,147447525
USD_2012;GB0007188757_2012;GB0007188757;GB;Basic Resources;0;-4575,168344;15620,79141;11045,62306;0,247242647;-0,025371471;0,506510849;1,418645497;0,171748616;68520,4744;1;4,94917471
EUR_2012;DE0007236101_2012;DE0007236101;DE;Industrial Goods & Services;0;-8968;33020;24052;0,250301568;0,041170278;0,710921483;1,222623543;0,481418888;72418,1973;1;5,034556269
USD_2012;GB0000566504_2012;GB0000566504;GB;Basic Resources;0;-211,8483771;1675,871983;1464,023606;0,354037267;0,119259242;0,481059463;0,928156485;0,158200088;122453,0887;1;4,990374937
USD_2012;GB0009895292_2012;GB0009895292;GB;Healthcare;0;-1718,241658;9278,958917;7560,717258;0,227134146;0,117626181;0,552583405;1,370064015;0,35581126;36292,643;1;4,607496805
EUR_2012;DE000BAY0017_2012;DE000BAY0017;DE;Chemicals;0;-8736;21766;13030;0,241219963;0,047646875;0,638285024;1,44942362;0,36983793;59449,2779;1;4,710422026
GBP_2012;GB0002875804_2012;GB0002875804;GB;Personal & Household Goods;0;-793,4955374;7575,498227;6782,00269;0,232091691;0,140556958;0,71533648;1,128224024;0,336151059;60009,8164;1;4,523891749
EUR_2012;IT0003132476_2012;IT0003132476;IT;Oil & Gas;-0,001962174;-674;1293;619;0,511904762;0,030062804;0,550898375;1,434128163;0,352747402;66650,959;1;5,14501295
USD_2012;GB0008762899_2012;GB0008762899;GB;Oil & Gas;-0,002896685;-217,9011879;1426,95014;1209,048952;0,430379747;0,049274296;0,49278894;1,45800793;0,185985563;34289,3004;1;4,693427658
USD_2012;GB00B1XZS820_2012;GB00B1XZS820;GB;Basic Resources;-0,004371984;-844,367103;4890,671105;4046,304002;0,085020243;-0,018810871;0,448311053;2,180312693;0,267069007;26483,7173;1;4,778518019
EUR_2012;FR0010208488_2012;FR0010208488;FR;Utilities;0;-2552;7887;5335;0,467013889;0,007542652;0,653490545;1,071702604;0,293623296;37193,6852;1;5,312807599
EUR_2012;DE000BASF111_2012;DE000BASF111;DE;Chemicals;0;-5382;22121;16739;0,232913669;0,075846845;0,598862064;1,661031618;0,447541468;65349,7608;1;4,808393298
GBP_2012;GB0008847096_2012;GB0008847096;GB;Retail;0;-2288,78836;9831,275217;7542,486857;0,550611791;0,002473618;0,667637495;0,689807743;0,261245985;27136,5723;1;4,787388833
EUR_2012;NL0000009355_2012;NL0000009355;NL;Personal & Household Goods;0;-3659;21332;17673;0,235194585;0,097041113;0,659576312;0,76806829;0,263115713;86690,868;1;4,664322247
EUR_2012;FI0009000681_2012;FI0009000681;FI;Technology;0;-274;2082;1808;0,414285714;-0,10370964;0,684563758;1,425508671;0,697118435;10957,7414;1;4,476382326
EUR_2012;DE0007100000_2012;DE0007100000;DE;Automobiles & Parts;-0,0484728;-9726;23933;14207;0,318611987;0,037397686;0,720759857;1,148847032;0,413908626;44105,4327;1;5,212128984
USD_2012;CH0012221716_2012;CH0012221716;CH;Industrial Goods & Services;0,008926024;-1347,506999;9126,882046;7779,375047;0,358184765;0,055023436;0,644467088;1,475809002;0,570654168;43401,4389;1;4,569683168
EUR_2012;DE0005557508_2012;DE0005557508;DE;Telecommunications;0;-7298;8978;1680;0,343866171;-0,048683552;0,717042486;0,652772949;0,139139538;37141,7408;1;5,033190461
GBP_2012;GB0002374006_2012;GB0002374006;GB;Food & Beverages;0;-1325,345397;8862,94168;7537,596283;0,258215962;0,08689038;0,695257271;1,516095318;0,324519016;45138,4561;1;4,436577319
USD_2012;LU0323134006_2012;LU0323134006;LU;Basic Resources;-0,03297461;-3520,466066;9785,881819;6265,415752;0,211267606;-0,032651672;0,518237281;1,334872785;0,277499935;20081,166;1;4,937949395
EUR_2012;DE0007164600_2012;DE0007164600;DE;Technology;0;-73;851;778;0,347826087;0,105198435;0,471920999;1,053756964;0,260778834;74547,9286;1;4,4287016
EUR_2012;DE0007037129_2012;DE0007037129;DE;Utilities;0;-6821;22332;15511;0,19486271;0,01480692;0,813643682;1,024583402;0,281626267;19098,9588;1;4,945478433
EUR_2012;FR0000120644_2012;FR0000120644;FR;Food & Beverages;0;-591;1027;436;0,420289855;0,056606968;0,585130514;0,809423594;0,234383993;31746,4761;1;4,470366383
EUR_2012;IT0003128367_2012;IT0003128367;IT;Utilities;-0,0069849;-2430;3651;1221;0,098159509;0,005039148;0,690322505;1,089564898;0,224512979;29507,7357;1;5,234658988
EUR_2012;FR0000127771_2012;FR0000127771;FR;Media;-0,003679806;-653;1020;367;0,38;0,002755654;0,639815842;0,694400709;0,23713748;22460,4197;1;4,774619141
USD_2012;BE0003793107_2012;BE0003793107;BE;Food & Beverages;0,002740151;-2535,371113;6851,025195;4315,654082;0,161417323;0,059068186;0,629419104;1,010878087;0,168241981;105662,3478;1;4,967431964
USD_2012;GB0031411001_2012;GB0031411001;GB;Basic Resources;0;-532,6473481;2508,133464;1975,486116;0,526501767;0,014197538;0,43701948;1,728549576;0,149555425;31963,6578;1;4,798536069
GBP_2012;GB0004544929_2012;GB0004544929;GB;Personal & Household Goods;0;-1278,884949;5067,856706;3788,971757;0,186956522;0,024530555;0,779876262;0,778057318;0,257353739;23280,3432;1;4,528822118
GBP_2012;GB00B24CGK77_2012;GB00B24CGK77;GB;Personal & Household Goods;0;-487,8346986;2054,040836;1566,206138;0,23655914;0,121286472;0,60729443;0,471250193;0,202718833;28088,4956;1;4,265701133
